gameCode;name;isActive;mobileGameCode;seoFriendlyGameName;desktopGameType;mobileGameType;liveLaunchAlias;bingoGameType;vfGameType;jackpotCode;demoModeSupport;gameMode;gameProvider;urlCustomParameters;isExcludedFromPGG;isExcludedFromSitemap;deviceAvailability_mobile;deviceAvailability_tablet;deviceAvailability_desktop;browserAvailability_edge;browserAvailability_safari;browserAvailability_chrome;browserAvailability_firefox;browserAvailability_other;osAvailability_ios;osAvailability_macintosh;osAvailability_android;osAvailability_windows;osAvailability_other;defaultGameImage;landscape_layout1x1_mainImage;landscape_layout1x1_mobileImage;landscape_layout1x1_guestMainImage;landscape_layout1x1_guestMobileImage;landscape_layout1x2_mainImage;landscape_layout1x2_mobileImage;landscape_layout1x2_guestMainImage;landscape_layout1x2_guestMobileImage;landscape_layout2x1_mainImage;landscape_layout2x1_mobileImage;landscape_layout2x1_guestMainImage;landscape_layout2x1_guestMobileImage;landscape_layout2x2_mainImage;landscape_layout2x2_mobileImage;landscape_layout2x2_guestMainImage;landscape_layout2x2_guestMobileImage;square_layout1x1_mainImage;square_layout1x1_mobileImage;square_layout1x1_guestMainImage;square_layout1x1_guestMobileImage;square_layout1x2_mainImage;square_layout1x2_mobileImage;square_layout1x2_guestMainImage;square_layout1x2_guestMobileImage;square_layout2x1_mainImage;square_layout2x1_mobileImage;square_layout2x1_guestMainImage;square_layout2x1_guestMobileImage;square_layout2x2_mainImage;square_layout2x2_mobileImage;square_layout2x2_guestMainImage;square_layout2x2_guestMobileImage;portrait_layout1x1_mainImage;portrait_layout1x1_mobileImage;portrait_layout1x1_guestMainImage;portrait_layout1x1_guestMobileImage;portrait_layout1x2_mainImage;portrait_layout1x2_mobileImage;portrait_layout1x2_guestMainImage;portrait_layout1x2_guestMobileImage;portrait_layout2x1_mainImage;portrait_layout2x1_mobileImage;portrait_layout2x1_guestMainImage;portrait_layout2x1_guestMobileImage;portrait_layout2x2_mainImage;portrait_layout2x2_mobileImage;portrait_layout2x2_guestMainImage;portrait_layout2x2_guestMobileImage;articleId;mobileArticleId;description;isGameNew;isGamePopular;isGameHot;isGameExclusive;additionalAssets_Bingo-Page;gameLabelsData_Trending;gameLabelsData_Exclusive;gameLabelsData_Popular;gameLabelsData_Hot;gameLabelsData_New;gamesCustomFields_hideGameBonusLabel;gamesCustomFields_Jackpot;gamesCustomFields_Volatility;gamesCustomFields_RTP;gamesCustomFields_bingoRoomImage;gamesCustomFields_bingoRoomTitle;gamesCustomFields_bingoRoomLabel;gamesCustomFields_gameInfoUrl
wlg;Wu Long;false;wlg;wlg;CASINO;NGM;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2018-games/wu-long.jpg;/library/2018-games/wu-long.jpg;/library/2018-games/wu-long.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_asian,paylines_16-25,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
pop_268a6001_mcg;Shamrock Holmes Megaways;false;pop_268a6001_mcg;pop_268a6001_mcg;MICROGAMING;MICROGAMING;;;;;unavailable;;Games Global;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2021/Games/January/Shamrock-Holmes-Megaways_SUN.jpg;/library/2021/Games/January/Shamrock-Holmes-Megaways_SUN.jpg;/library/2021/Games/January/Shamrock-Holmes-Megaways_SUN.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
pop_3b6bb33a_prg;Rock Vegas;false;;pop_3b6bb33a_prg;PRAGMATIC;PRAGMATIC;;;;;unavailable;;Pragmatic;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2023/games/February/RockVegas_Char.png;/library/2023/games/February/RockVegas_Char.png;/library/2023/games/February/RockVegas_Char.png;/library/2023/games/February/RockVegas.png;/library/2023/games/February/RockVegas.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
scrdstns;Sacred Stones;false;scrdstns;scrdstns;CASINO;NGM;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2018-games/sacred-stones.jpg;/library/2018-games/sacred-stones.jpg;/library/2018-games/sacred-stones.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_fantasy,paylines_16-25,features_special_wilds,features_freerounds,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
mcb;Mr. Cash Back;false;mrcb;mcb;CASINO;NGM;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/300x300NoNewsmrcb.jpg;/library/Friendly_Games/300x300NoNewsmrcb.jpg;/library/Friendly_Games/300x300NoNewsmrcb.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GAME_DESC_MR_CASHBACK;;{{{games_category_slots,theme_classic,paylines_1-15,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
gpas_lotmad_pop;Lotto Madness;false;gpas_lotmad_pop;gpas_lotmad_pop;GPAS;GPASMOBILE;;;;;unavailable;default;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2018-games/lotto-madness.jpg;/library/2018-games/lotto-madness.jpg;/library/2018-games/lotto-madness.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_classic,paylines_16-25,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
gpas_pppearls_pop;Pearls Pearls Pearls;false;gpas_pppearls_pop;gpas_pppearls_pop;GPAS;GPASMOBILE;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2021/Games/January/pearls-pearls-pearls_SUN.jpg;/library/2021/Games/January/pearls-pearls-pearls_SUN.jpg;/library/2021/Games/January/pearls-pearls-pearls_SUN.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
gpas_captres_pop;Captains Treasure;false;gpas_captres_pop;gpas_captres_pop;GPAS;GPASMOBILE;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/300x300NoNewscaptaintrea.jpg;/library/Friendly_Games/300x300NoNewscaptaintrea.jpg;/library/Friendly_Games/300x300NoNewscaptaintrea.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GAME_DESC_CAPTAINS_TREASURE;;{{{test}}};false;false;false;false;;;;;;;;;;;;;;
pop_632661f7_mcg;Mr. Pigg E. Bank™;false;;pop_632661f7_mcg;MICROGAMING;MICROGAMING;;;;;unavailable;;Games Global;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2023/games/December/MrPiggEBank_Char_SUNFAB.jpg;/library/2023/games/December/MrPiggEBank_Char_SUNFAB.jpg;/library/2023/games/December/MrPiggEBank_Char_SUNFAB.jpg;/library/2023/games/December/MrPiggEBank_SUNFAB.jpg;/library/2023/games/December/MrPiggEBank_SUNFAB.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
pop_5ce949b3_mcg;Cat Purry;false;;pop_5ce949b3_mcg;MICROGAMING;MICROGAMING;;;;;unavailable;;Games Global;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/2023/games/August/CatPurry_Char%20.png.png;/library/2023/games/August/CatPurry_Char%20.png.png;/library/2023/games/August/CatPurry_Char%20.png.png;/library/2023/games/August/CatPurry.png.png;/library/2023/games/August/CatPurry.png.png;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
